komentar,clean_text
"barang masih di segel, barang sangat rapih di bubble wrapnya tebal, toko tdk memberitahukan driver isi paketnya apa jadi aman, amanah tokonya dan instannya cepat. iphonenya bagus sekali👍",barang masih di segel barang sangat rapih di bubble wrapnya tebal toko tidak memberitahukan driver isi paket apa jadi aman amanah toko dan instan cepat iphonenya bagus sekali
"Bareng nya ori masih tersegel dengan baik, sesuai request. Bagus banget pokoknya, semoga awet",bareng nya ori masih segel dengan baik sesuai request bagus banget pokok moga awet
"kelengkapan oke(kabel charger dan hp doang) apple pelit bet. Pelayanannya bagus, cepet tanggap, ramah juga. Ini toko termurah sih resmi ibox juga(IMEI udah dicek, terdaftar). Pesen kemarin malem, sore tadi dah nyampe pake kurir toko, kurirnya effort bangett padahal lagi hujan deress, makasih banyak lohh👍👍",lengkap okekabel charger dan hp doang apple pelit bet layan bagus cepet tanggap ramah juga ini toko murah sih resmi ibox jugaimei udah cek daftar sen kemarin malem sore tadi dah nyampe pake kurir toko kurir effort bangett padahal lagi hujan deress makasih banyak lohh
Mantap barang original dan garansi bisa diclaim,mantap barang original dan garansi bisa diclaim
"Garansian semua resmi, hanya yg di request kadang ga sesuai. Kiriman juga cepat, deg2an baru pertama kali beli dr OL. Namun sampai di tujuan dg selamat. Makasih seller..",garansi semua resmi hanya yang di request kadang tidak sesuai kirim juga cepat degan baru pertama kali beli dr ol namun sampai di tuju dg selamat makasih seller
bagus pelayanan penjual. barang ori segel utuh sdh dicoba ok fungsinya..,bagus layan jual barang ori segel utuh sdh coba ok fungsi
"Barangnya masih segel, kualitas baik, original, pas flash sale milih warna biru eh lagi kosong katanya dan konfirmasi buat ganti warna pink atau hitam. Ku pilih pink karena sbnernya aku emang maunya warna pink, pas banget. Terima kasih seller 👍🏻",barang masih segel kualitas baik original pas flash sale milih warna biru eh lagi kosong kata dan konfirmasi buat ganti warna pink atau hitam ku pilih pink karena sbnernya aku emang mau warna pink pas banget terima kasih seller
"Terimakasih barang sudah di terima dalam keadaan baik, kumplit tidak ada yg kurang sesuai pesanan, garansi jg ok Respond penjual cepat, pengiriman jg sangat cepat, semoga barangnya bermanfaat.",terimakasih barang sudah di terima dalam ada baik kumplit tidak ada yang kurang sesuai pesan garansi jg ok respond jual cepat kirim jg sangat cepat moga barang manfaat
"terima kasih, alhamdulillah pesanan iphone 15 saya sudah sampai dalam keadaan selamat, dan berfungsi dengan baik, garansi resmi dr ******..semoga awet dan bermanfaat",terima kasih alhamdulillah pesan iphone saya sudah sampai dalam ada selamat dan fungsi dengan baik garansi resmi dr moga awet dan manfaat
Produk original sesuai pesanan diterima kondisi dgn baik aman packing super aman berlapis bubble wrap dan harga lebih murah ketika CO wktu itu dibanding toko lain sayang ga ada bonus TG sama case respon penjual baik utk segera kirim hanya pengiriman reguler yg gratis ongkir dptnya IdEx agk lama sempet khawatir blm smpe pdhal udh tinggl kirim ke rumah smpe kepending 1 hr secara umum cukup puas belanja dsini. Semoga awet berkah barokah utk semua. terimakasih ya penjual dan tokped idex 😃🙏🏻,produk original sesuai pesan terima kondisi dgn baik aman packing super aman lap bubble wrap dan harga lebih murah ketika co wktu itu banding toko lain sayang tidak ada bonus tg sama case respon jual baik utk segera kirim hanya kirim reguler yang gratis ongkir dptnya idex agk lama sempet khawatir blm smpe pdhal udh tinggl kirim ke rumah smpe pending hr cara umum cukup puas belanja dsini moga awet berkah barokah utk semua terimakasih ya jual dan tokped idex
"barang masih segel, original, bagusss banget, sesuai request dpt yg kode PA/A, mimin nyaa fast respon bgt😍, pemakaian baru 2hari aman gaada troble dan kendala, semoga awettt🥰",barang masih segel original bagusss banget sesuai request dpt yang kode paa mimin nyaa fast respon bgt pakai baru hari aman gaada troble dan kendala moga awettt
Bagus bangettt. Walaupun ada beberapa kendala masalah pengiriman tapi bener bener bagus bangetttt. Dan pelayanannya sih yg top bangett. Selalu fast respon melayani customer bawel kaya gue hahaha. Sukses terus ismile 🫰🏻,bagus bangettt walaupun ada beberapa kendala masalah kirim tapi bener bener bagus bangetttt dan layan sih yang top bangett selalu fast respon layan customer bawel kaya gue hahaha sukses terus ismile
Top mantap. barang segel sangat rapihh. sinyal aman dan rapih pokonya top seller!,top mantap barang segel sangat rapihh sinyal aman dan rapih poko top seller
"barangnya original, dapat kode PA/A. dapat harga murah, cewek saya suka. dan penjual ramah",barang original dapat kode paa dapat harga murah cewek saya suka dan jual ramah
"barang masih segel ,,dapat kode PA/A nicee",barang masih segel dapat kode paa nicee
"Barangnya sehari nyampe, ori, dan cs nya komunikatif. terima kasih",barang hari nyampe ori dan cs nya komunikatif terima kasih
Setelah kesana kesini nyari varian 256 yang sangat langka. Akhirnya dapet juga ditoko ini. Seller gercep. yang paling utama adalah IMEI Aman barang BNIB. Terima kasih 🙏.,telah kesana kesini nyari varian yang sangat langka akhir dapet juga toko ini seller gercep yang paling utama adalah imei aman barang bnib terima kasih
"maaf baru sempet kasih ulasan. setelah sebulan pemakaian overall oke. wlpun masih harus banyak belajar ya wkwk  semoga awet di aku iPhonenya. ORI pasti. tapi aku beli dapet yang stok lama, bulan april. ku beli bulan agustus.   awalnya pilahpilih onlineshop mana yg trusted. setelah baca2 akhirnya pilih toko ini. disamping harga agak miring reviewnya bagus2 kok. Alhamdulillah masyaAllah Tabarakallah kebeli juga ini hp iPhone 🥲🥲  saran buat seller sih ya.. 🙏🏻 packingnya itu emang aman karna bubblenya yang tebel tapi kedepannya mungkin bisa ya dengan harga segitu dan asuransinya pengiriman yang terbilang lumayan kita bisa dapet packing kayu ya. atau nambah sedikit untuk dapat packing kayu. karna jujur sedikit takut ada tangan jahil gitu.  oh iya kemarin aku pakai ekspedisi SICEP*T yang next day. harapannya kan bisa dateng sehari setelahnya eeeeh ternyata sama aja dong. di hari setelahnya udah sampai di drop pointnya ngga buru2 dianter sama kurir, padahal paketnya pakai service next day kan. akhirnya karna takut was2 dll sore itu aku ambil langsung itu paket.   kecewa sih sama ekspedisinya. bayar ongkir mahal tp tetep aja sampainya 2 hari kalau aku ngga ambil sendiri langsung.   buat yang mau beli disini gak usah khawatir. bisa request apapun sama sellernya. pastikan pilih pengiriman yang cepat di kota kalian ya.   thankyou Ismile 🥰",maaf baru sempet kasih ulas telah bulan pakai overall oke wlpun masih harus banyak ajar ya wkwk moga awet di aku iphonenya ori pasti tapi aku beli dapet yang stok lama bulan april ku beli bulan agustus awal pilahpilih onlineshop mana yang trusted telah baca akhir pilih toko ini samping harga agak miring reviewnya bagus kok alhamdulillah masyaallah tabarakallah kebel juga ini hp iphone saran buat seller sih ya packingnya itu emang aman karna bubblenya yang tebel tapi depan mungkin bisa ya dengan harga segitu dan asuransi kirim yang bilang lumayan kita bisa dapet packing kayu ya atau nambah sedikit untuk dapat packing kayu karna jujur sedikit takut ada tangan jahil gitu oh iya kemarin aku pakai ekspedisi sicept yang next day harap kan bisa dateng hari telah eeeeh nyata sama aja dong di hari telah udah sampai di drop point ngga buru anter sama kurir padahal paket pakai service next day kan akhir karna takut was dll sore itu aku ambil langsung itu paket kecewa sih sama ekspedisi bayar ongkir mahal tp tetep aja sampai hari kalau aku ngga ambil sendiri langsung buat yang mau beli sini gak usah khawatir bisa request apa sama sellernya pasti pilih kirim yang cepat di kota kalian ya thankyou ismile
mantap barang tersegel dan resmi indonesia,mantap barang segel dan resmi indonesia
"Cs fast respon, barang sesuai, harga dibawah pasaran. Mantapp. Auto beli lagi pas iphone 20 rilis",cs fast respon barang sesuai harga bawah pasar mantapp auto beli lagi pas iphone rilis
Barang sesuai pesanan dan sesuai request kode unit PA/A aman semua fungsi aman mantab pokoknya the best deh keren - Hitam 128 GB,barang sesuai pesan dan sesuai request kode unit paa aman semua fungsi aman mantab pokok the best deh keren hitam gb
deg degan belinya via online.. biasanya on the spot🫣 tapi syukur barang sampai dengan aman sampai di tempat.. terima kasih iSmile👍🏻,deg degan beli via online biasa on the spot tapi syukur barang sampai dengan aman sampai di tempat terima kasih ismile
Recommended.. kiriman dg kurir gosend instant cepat.. walaupun sedikit butuh waktu untuk menanyakan jam dikirimkan.. chat dg admin sangat responsif.. boleh banget beli lagi di toko ini.. 😊👍🏻,recommended kirim dg kurir gosend instant cepat walaupun sedikit butuh waktu untuk tanya jam kirim chat dg admin sangat responsif boleh banget beli lagi di toko ini
"gak pernah beli hp online harga 13 jutaan. karna murah, coba aja dulu semoga gak zonk. cpt banget. 3 hari udah nyampe. checkout langsung packing. setiap waktu mantengin ini tros udah dimana udah dimana. sampe kebawa mimpi sangking takutnya. alhamdulillah gak zonk. seneng banget. sesuai permintaan 0a/A (iBox). cuma kecewanya ini buatan China.",gak pernah beli hp online harga juta karna murah coba aja dulu moga gak zonk cpt banget hari udah nyampe checkout langsung packing tiap waktu mantengin ini tros udah mana udah mana sampe bawa mimpi sangking takut alhamdulillah gak zonk neng banget sesuai minta aa ibox cuma kecewa ini buat china
"⚡️Proses cepat. 🚚 Pengiriman cepat. 📦 Packing baik. 👍 Kualitas OK.💲Harga Bagus. Terima kasih 🙏 Very Recommended!!!! Dapet di harga 13 jt, mantap!!!",proses cepat kirim cepat packing baik kualitas ok harga bagus terima kasih very recommended dapet di harga jt mantap
"Alhamdulillah puas sekali belanja di sini, apalagi dapat harga 13,1jt masih dapat kembalian. Packing aman, pengiriman juga cepat sekali menggunakan paxel sehari sudah sampai Kediri. Pertama kali belanja online di atas 10jt no worry2 club.",alhamdulillah puas sekali belanja di sini apalagi dapat harga jt masih dapat kembali packing aman kirim juga cepat sekali guna paxel hari sudah sampai diri pertama kali belanja online di atas jt no worry club
"bubble wrap tebell, pengiriman aman, semuanya ori. top bgttt!",bubble wrap tebell kirim aman semua ori top bgttt
Product was delivered quickly and works perfectly,product was delivered quickly and works perfectly
barang okay.. fungsi aman sejauh ini.. baru sampai jd blm bnyk di cek.. smga aman dan awet,barang okay fungsi aman jauh ini baru sampai jd blm bnyk di cek smga aman dan awet
"Produk ini sangat berkualitas, awet, dan bermanfaat!",produk ini sangat kualitas awet dan manfaat
hp asli dan resmi sdh dicek terdaftar.saran buat agan2 hati2 kalau beli online banyak no penipu mengatanamakan toko official store.saran kalau ada apa2 lsg japri saja toko via tokped,hp asli dan resmi sdh cek terdaftarsaran buat agan hati kalau beli online banyak no tipu mengatanamakan toko official storesaran kalau ada apa lsg japri saja toko via tokped
"good seller, good shipment, overall good👍👍👍",good seller good shipment overall good
"Alhamdulillah, nyampai dengan selamat, pengirimannya top deh, dari JKT ke SBY sehari sampai pakai jne next day. Packing tebel, admin cukup fast respon, thanks",alhamdulillah nyampai dengan selamat kirim top deh dari jkt ke sby hari sampai pakai jne next day packing tebel admin cukup fast respon thanks
"adminnya fast responn dan informatif, iphone ori garansi resmi, minusnya pengiriman cukup lama dan ga dapet bonus accessories",adminnya fast responn dan informatif iphone ori garansi resmi minus kirim cukup lama dan tidak dapet bonus accessories
"Barang diterima dengan kondisi baik, tersegel, kondisi sesuai. Seller bantuin kirim walopun sedikit degdegan karena beli kesorean dan baru bisa dikirim besok pagi ke siang lumayan agak lama nunggu tapi aman",barang terima dengan kondisi baik segel kondisi sesuai seller bantuin kirim walopun sedikit degdegan karena beli sore dan baru bisa kirim besok pagi ke siang lumayan agak lama nunggu tapi aman
"Barang masih disegel dan ada garansi resminya, pengiriman tepat waktu, berfungsi dengan baik, pokokny mantap",barang masih segel dan ada garansi resmi kirim tepat waktu fungsi dengan baik pokokny mantap
Diprosess dengan baik sesuai pesanan dan pengiriman cepat,diprosess dengan baik sesuai pesan dan kirim cepat
"Iphone ORI dan garansi resmi Indo Seller fastrespon juga Namun pesan sameday lama sekali ketemu gojeknya, jadi ujung2nya pick up sendiri",iphone ori dan garansi resmi indo seller fastrespon juga namun pesan sameday lama sekali ketemu gojek jadi ujung pick up sendiri
"barang masih tersegel, packing tebel, pengiriman cepat, hp ori dan mulus, gas deh pokonya.",barang masih segel packing tebel kirim cepat hp ori dan mulus gas deh poko
"barang masih disegel waktu sampai aman jg dr goncangan dan kejatuhan ada buble wrap, garansi on, imei aman, fitur premium, new in box, brg ori top, asli ibox, cmn minus nya di pengiriman,pesan dr tgl 11 malam, harus nya tgl 13 sampe, malah tgl 15 baru sampe, harus di komplain dulu baru gerak, dr pihak sellernya telat sehari utk proses hubungi kurir, ngendap sehari,kurirnya jg telat sehari utk jemput brg nya, pasti udh tau lah kurir mana yg sering bermasalh, slektif lg mikih kurir",barang masih segel waktu sampai aman jg dr goncangan dan jatuh ada buble wrap garansi on imei aman fitur premium new in box barang ori top asli ibox cmn minus nya di pengirimanpesan dr tgl malam harus nya tgl sampe malah tgl baru sampe harus di komplain dulu baru gerak dr pihak sellernya telat hari utk proses hubung kurir ngendap seharikurirnya jg telat hari utk jemput barang nya pasti udh tau lah kurir mana yang sering bermasalh slektif lg mikih kurir
"Produk ori, udah sebulan beli baru review. Minta garansi TAM diturutin. Pokoknya hanya bintang dan dokumentasi yg berbicara. Toko yg sangat recommended, bakal jadi langganan👍🫰",produk ori udah bulan beli baru review minta garansi tam diturutin pokok hanya bintang dan dokumentasi yang bicara toko yang sangat recommended bakal jadi langgan
"barang original & bagus, pelayanan oke, packing bubble wrap aman, pengiriman cepat. Dan beruntung banget dapet harga Promo. TOP BGT dah.",barang original bagus layan oke packing bubble wrap aman kirim cepat dan untung banget dapet harga promo top banget dah
"barangnya masih di segel,produk berfungsi denganbaik,recomended seller👍👍👍",barang masih di segelproduk fungsi denganbaikrecomended seller
Packagingnya tebel bgt bgt bgttt pokoknya puas makasiih,packagingnya tebel banget banget bgttt pokok puas makasiih
barang ori & disegel rapi dengan keterangan nama barang dihilangkan utk menambah keamanan dari hal yg tidak diinginkan.,barang ori segel rapi dengan terang nama barang hilang utk tambah aman dari hal yang tidak ingin
toko elite pengiriman syulit parah beli instan dikirim 3 hari kemudian karena blmmrestok. TPI oke lah barangnya original cakep polll cakep cs nya kadang bener kadang gaje,toko elite kirim syulit parah beli instan kirim hari kemudian karena blmmrestok tpi oke lah barang original cakep polll cakep cs nya kadang bener kadang gaje
"Barang masih segel, originil , semoga awet sayang ga ada bonusanya 🥲",barang masih segel originil moga awet sayang tidak ada bonusanya
"Modal nekat beli di toko yg gada offline storenya. tapi smua CS sangat membantu dan hpnya sampai dengan selamat. dri barang di pick up smpe diterima kerjaannya sejam mantengin live tracking eh ternyata drivernya cerita kalo beliau juga deg2an bawa hp ini haha Alhamdulillah smua aman, barang Ori garansi resmi Indo SA/A. Makasi ya untuk semua CS ismile sudah berhasil meyakini akkk kalo toko kalian sangat amanah🥰 sukses ya kalian!",modal nekat beli di toko yang gada offline storenya tapi smua cs sangat bantu dan hpnya sampai dengan selamat dri barang di pick up smpe terima kerja jam mantengin live tracking eh nyata drivernya cerita kalo beliau juga degan bawa hp ini haha alhamdulillah smua aman barang ori garansi resmi indo saa makas ya untuk semua cs ismile sudah hasil yakin akkk kalo toko kalian sangat amanah sukses ya kalian
"pengiriman cepat, seller nya sangat komunikatif. walaupun gk dpt yg PA/A gpp ttp dpt garansi resmi terimakasih banyak admin 🙏🏼",kirim cepat seller nya sangat komunikatif walaupun tidak dpt yang paa gpp ttp dpt garansi resmi terimakasih banyak admin
"Barang ori, pelayanan memuaskan, sukaa",barang ori layan muas sukaa
"Barang Mantap, Semoga Awet, Cuma Lama DiKurir Pick Up Saja. Thx",barang mantap moga awet cuma lama kurir pick up saja thx
"barang bagus, asli, selamat sampi tujuan, resmi dan puas deh pokonya .. sampe order 2x .. thanks seller sukses terus",barang bagus asli selamat sampi tuju resmi dan puas deh poko sampe order x thanks seller sukses terus
"barang mantap ori, lgs ada warantty nya dan dikasihnya yg ibox thankyou so much",barang mantap ori lgs ada warantty nya dan kasih yang ibox thankyou so much
"pake Jne Yes jakarta -makassar 1 hari benerN dong sampee, mimin fast respon, jawab sesuai yg ditanyain sat set lah pokoknya  dapat garansi TAM... terima kasih🙏🏻🙏🏻",pake jne yes jakarta makassar hari benern dong sampee mimin fast respon jawab sesuai yang ditanyain sat set lah pokok dapat garansi tam terima kasih
"Alhamdulillah selamat, dikirim pake kurir toko, dipesen jam 12 jam 6an sudah sampai, kurir tokony cpt, barang saat sampe dalam kondisi baru dan lengkap. Rekomen kalo beli di toko ini. Deg2kan krn br pertama beli hape melalui online, tp ternyata good idea. Smg kedepannya semakin top markotop",alhamdulillah selamat kirim pake kurir toko sen jam jam an sudah sampai kurir tokony cpt barang saat sampe dalam kondisi baru dan lengkap rekomen kalo beli di toko ini deg krn br pertama beli hape lalu online tp nyata good idea smg depan makin top markotop
mantapp barngnya original..semoga awet.8,mantapp barngnya originalsemoga awet
"bagus sih, cuma degdegan krn milih instant 3 jam hampir ga nyampe. wkwk tengkyu admin sudah diusahakan nyampe sebelum waktu caw",bagus sih cuma degdegan krn milih instant jam hampir tidak nyampe wkwk tengkyu admin sudah usaha nyampe belum waktu caw
"pokoknya bintang 5 seperti review2 lainnya. top, recomended seller. terima kasih",pokok bintang seperti review lain top recomended seller terima kasih
"Resmiii,.mantappp  Akhirnya dapat yg pink",resmiiimantappp akhir dapat yang pink
"Satu kata ""GACOR"" walaupun pengiriman agak lama ya tapi gapapa lah ya,dapet free TG sama Case",satu kata gacor walaupun kirim agak lama ya tapi gapapa lah yadapet free tg sama case
terbaik dan cepat pengirimannya. recommended,baik dan cepat kirim recommended
mantaap keren kak cuma lupa request kode sj mimin gercep  cuma lama di expedisi,mantaap keren kak cuma lupa request kode sj mimin gercep cuma lama di expedisi
packing Mantap berlapis lapis bubblenya Warna sesuai pesanan dan Alhamdulillah dapat diskon 1jt,packing mantap lap lapis bubblenya warna sesuai pesan dan alhamdulillah dapat diskon jt
"Bintang 5 buat Toko nya..Barang nya Bintang 5 juga, Pengiriman Cepat..  Doain biar bisa beli lagi disini ya..  Makasih",bintang buat toko nyabarang nya bintang juga kirim cepat doain biar bisa beli lagi sini ya makasih
"barang diterima dengan baik, original",barang terima dengan baik original
"mantap, masih segel, ori",mantap masih segel ori
"Diterima dalam keadaan baik , garasi SA terima kasih",terima dalam ada baik garasi sa terima kasih
barang masih segel dan packing lengkap banget seller fast respon dan sangat helpfull dan original resmi,barang masih segel dan packing lengkap banget seller fast respon dan sangat helpfull dan original resmi
"Barang masih disegel, garansi resmi, sesuai spesifikasi, sellernya ramah, fast respon, dan amanah.",barang masih segel garansi resmi sesuai spesifikasi sellernya ramah fast respon dan amanah
"Barang masih disegel, garansi resmi, original. Seller ramah, proses cepat.",barang masih segel garansi resmi original seller ramah proses cepat
"Garansi resmi masih segel, seller fast respon dan jujur dalam menjelaskan pokoknya ga nyesel beli di toko ini",garansi resmi masih segel seller fast respon dan jujur dalam jelas pokok tidak nyesel beli di toko ini
"Awalnya, saya mengalami masalah dengan HP yang tidak bisa mendapatkan sinyal seluler, meskipun sudah mencoba berbagai cara. Akhirnya, saya terpaksa melakukan reset pabrik. Namun, setelah reset, HP saya tidak dapat diaktivasi, sehingga tidak bisa digunakan sama sekali. Saya kemudian diarahkan ke bagian aftersales, dan petugasnya sangat ramah serta responsif. Tim aftersales menyarankan untuk melakukan retur secara manual karena status pemesanan di Tokopedia sudah selesai. Setelah melalui beberapa prosedur retur, HP saya diganti dengan unit yang baru. Dari segi pelayanan, saya sangat puas karena fast respond, dan tim aftersales memberikan layanan yang sangat baik dan ramah.",awal saya alami masalah dengan hp yang tidak bisa dapat sinyal seluler meski sudah coba bagai cara akhir saya paksa laku reset pabrik namun telah reset hp saya tidak dapat diaktivasi sehingga tidak bisa guna sama sekali saya kemudian arah ke bagi aftersales dan tugas sangat ramah serta responsif tim aftersales saran untuk laku retur cara manual karena status mesan di tokopedia sudah selesai telah lalu beberapa prosedur retur hp saya ganti dengan unit yang baru dari segi layan saya sangat puas karena fast respond dan tim aftersales beri layan yang sangat baik dan ramah
"I love this store! Adminnya ramah, barang sesuai dengan yang tertera, original, pengirimannya juga tidak ngaret, dibantu juga jika ada problem teknis. Thank you ya!",i love this store adminnya ramah barang sesuai dengan yang tera original kirim juga tidak ngaret bantu juga jika ada problem teknis thank you ya
sesuai request dapet yang ID/A. super nice pengirimannya lama banget ampun ya Allah ya robi tapi overall semua aman barang tersegel garansi imei dll,sesuai request dapet yang ida super nice kirim lama banget ampun ya allah ya robi tapi overall semua aman barang segel garansi imei dll
"mantep si,  barang Ori, bisa self pickup (karena takut² klu pake jasa ekspedisi 😆) masih segel, sampe unboxing. cuma kelupaan kmarin harusnya skalian sama case nya haha. terima kasih ya, semoga awet di saya",mantep si barang ori bisa self pickup karena takut klu pake jasa ekspedisi masih segel sampe unboxing cuma lupa kmarin harus skalian sama case nya haha terima kasih ya moga awet di saya
"asli barang ori gokill, mantap tokonya, sellernya juga membantu. rekomen pokoknya",asli barang ori gokill mantap toko sellernya juga bantu rekomen pokok
"pelayanan sangat memuaskan, barang ori dan berfungsi normal",layan sangat muas barang ori dan fungsi normal
"IPhone 15 Harga Promo, semuanya resmi garansi Indonesia, harga disini yang terbaik.",iphone harga promo semua resmi garansi indonesia harga sini yang baik
"respon cepat, pengiriman barang cepat dan barang sesuai dengan deskripsi dan diterima dengan baik, kondisi 100 original",respon cepat kirim barang cepat dan barang sesuai dengan deskripsi dan terima dengan baik kondisi original
"Respon admin sangat cepat( tapi yg balas beda beda admin). Cuma disayangkan ga sesuai janji, bilang barang ready stock sisa 9, ternyata harus nunggu restock, janji akan dikirim dihari yg sama. Ternyata baru dikirim 2 hari kemudian. Ditambah sistem kurir rekomendasi dari Tokopedia ini yang paling menyebalkan bikin lama dan tidak update. Pengiriman dari ID express dioper ke JNE 5 hari baru sampai, bikin deg-degan. Karena yg dikirim hp yg ga murah. Takut hilang. Untuk Hp dapet kode PA/A sesuai request. Original bukan refurbish. Garansi langsung aktif. Tidak ada malfungsi. Untuk harga emang paling murah dari toko lain. Mantap. Packing aman pakai bubblewrap tebal.",respon admin sangat cepat tapi yang balas beda beda admin cuma sayang tidak sesuai janji bilang barang ready stock sisa nyata harus nunggu restock janji akan kirim hari yang sama nyata baru kirim hari kemudian tambah sistem kurir rekomendasi dari tokopedia ini yang paling sebal bikin lama dan tidak update kirim dari id express oper ke jne hari baru sampai bikin degdegan karena yang kirim hp yang tidak murah takut hilang untuk hp dapet kode paa sesuai request original bukan refurbish garansi langsung aktif tidak ada malfungsi untuk harga emang paling murah dari toko lain mantap packing aman pakai bubblewrap tebal
"garansi resmi, luar biasa.. admin responsif.. sukses selalu ya",garansi resmi luar biasa admin responsif sukses selalu ya
"respon cepat proses juga cepat, barang mantap sesuai dengan pesanan. masi segel. ori ibox. Terima kasih seller rekomendasi.",respon cepat proses juga cepat barang mantap sesuai dengan pesan mas segel ori ibox terima kasih seller rekomendasi
"Okelah barang diterima lengkap, belum saya buka kardusnya, masih tersegel. Produk GDN resmi indonesia, dengan tambahan garansi 6 bulan dari keseluruhan kerusakan.. semoga awet",oke barang terima lengkap belum saya buka kardus masih segel produk gdn resmi indonesia dengan tambah garansi bulan dari seluruh rusa moga awet
"Pengiriman tepat waktu, barang masih disegel dan berfungsi dengan baik. Ada kartu garansi nya juga",kirim tepat waktu barang masih segel dan fungsi dengan baik ada kartu garansi nya juga
"Barangnya oke dan ori, kecepetan pengiriman juga mantep, adminnya responsif👍",barang oke dan ori kecepetan kirim juga mantep adminnya responsif
"produk nya sesuai, pengirimannya aman banget! admin nya juga fast respon dan baik banget responnya padahal banyak nanya! pelayanannya juara bgt",produk nya sesuai kirim aman banget admin nya juga fast respon dan baik banget responnya padahal banyak nanya layan juara banget
"Pelayan seller terbaik dan ramah , barang original dan driver baik serta bertanggung jawab",layan seller baik dan ramah barang original dan driver baik serta tanggung jawab
produk diterima dengan baik all fungsi oke yg paling penting garansi resmi,produk terima dengan baik all fungsi oke yang paling penting garansi resmi
"Barang original, garansi resmi, masih segelan ...",barang original garansi resmi masih segel
"barang sesuai dengan pesanan, namun pengiriman agak lama memakai ID Express. mungkin bisa ditingkatkan kembali. but over all thank you🙏🏻",barang sesuai dengan pesan namun kirim agak lama pakai id express mungkin bisa tingkat kembali but over all thank you
Terima kasih iSmile pesanan sudah sampai. barang original. mulus kemasan bagus. cepat. seller recomend. pengiriman cepat,terima kasih ismile pesan sudah sampai barang original mulus kemas bagus cepat seller recomend kirim cepat
"Nice😍, Terimakasih brang sdh sampai sesuai pic dan deskripsi brnag original garansi resmi iBox, Brang dtg dgn aman packing sangat tebal brang sangat mulus, No cacat berdungsi dengan baik, Seller amanah, Fast respon terimakasih iSmile😊🙏",nice terimakasih brang sdh sampai sesuai pic dan deskripsi brnag original garansi resmi ibox brang dtg dgn aman packing sangat tebal brang sangat mulus no cacat berdungsi dengan baik seller amanah fast respon terimakasih ismile
Iphone diterima dengan keadaan mulus tidak ada kekurangan. 100% recommended beli iphone paling murah di sini,iphone terima dengan ada mulus tidak ada kurang recommended beli iphone paling murah di sini
"Seller nya sangat ramah, responsif, dan helpful. Pesen pakai instan dan dikasih beberapa mitigasi supaya pengirimannya aman. Packing nya juga super tebal jadi barang sampai tanpa lecet/rusak sedikitpun 👍🏻",seller nya sangat ramah responsif dan helpful sen pakai instan dan kasih beberapa mitigasi supaya kirim aman packing nya juga super tebal jadi barang sampai tanpa lecetrusak sedikit
"Barangnya original, ada garansi resmi, barang baik sekali dan benar-benar dipacking dengan rapih dan tebal. Adminnya fast respon dan sangat informatif. Dapat tempered glass sama clear case juga dan bagus.. Worth it banget beli di sini, terima kasih ya kak iSmile dan kurir sehat selalu",barang original ada garansi resmi barang baik sekali dan benarbenar dipacking dengan rapih dan tebal adminnya fast respon dan sangat informatif dapat tempered glass sama clear case juga dan bagus worth it banget beli di sini terima kasih ya kak ismile dan kurir sehat selalu
barang sesuai yang di pesan box tidak mulus ada yang penyok 2 sisi. padahal sudah di lapis bublewrap tebal. kemungkinan dari awal sudah cacat boxnya. mudahan hapenya aman.,barang sesuai yang di pesan box tidak mulus ada yang penyok sisi padahal sudah di lapis bublewrap tebal mungkin dari awal sudah cacat boxnya mudah hapenya aman
"alhamdulilah barang sesuai request, mulus gaada lecet sama sekali, cuman minus nya dipengiriman agak lama mungkin lagi delay overall bagus bgt",alhamdulilah barang sesuai request mulus gaada lecet sama sekali cuman minus nya kirim agak lama mungkin lagi delay overall bagus banget
"paket tiba dengan selamat packing sangat rapi dan tebal, awal order sempat delay sehari pengiriman, tapi Alhamdulillah admin sangat fast respon  barang original resmi. semoga bisa bertahan lama. trmksh iSmile",paket tiba dengan selamat packing sangat rapi dan tebal awal order sempat delay hari kirim tapi alhamdulillah admin sangat fast respon barang original resmi moga bisa tahan lama trmksh ismile
"iPhone 15 adalah pilihan yang solid bagi pengguna yang menginginkan smartphone premium dengan performa tinggi, kualitas kamera yang luar biasa, dan desain yang elegan. Meskipun harganya lebih tinggi, fitur dan pengalaman pengguna yang ditawarkan membuatnya layak dipertimbangkan.",iphone adalah pilih yang solid bagi guna yang ingin smartphone premium dengan performa tinggi kualitas kamera yang luar biasa dan desain yang elegan meski harga lebih tinggi fitur dan alam guna yang tawar buat layak timbang
"barang masi segel, ori n yang pasti Keren..Tengkyu seler",barang mas segel ori n yang pasti kerentengkyu seler
"Bagus sih, cakep banget unitnya. Pengiriman aman dan cepet, garansi juga jalan",bagus sih cakep banget unit kirim aman dan cepet garansi juga jalan
