komentar,clean_text
"Barangnya bagus, foto sesuai dgn aslinya,, real",barang bagus foto sesuai dgn asli real
pesanan sudah sampai pengiriman sedikit terlambat tapi gpp lah sepatunya sesuai gambar tapi ada dikit benang yang ga rapi di sepatu sebla kiri tapi ggp lumayan baguss maatap,pesan sudah sampai kirim sedikit lambat tapi gpp lah sepatu sesuai gambar tapi ada dikit benang yang tidak rapi di sepatu sebla kiri tapi ggp lumayan baguss maatap
Untuk hrg 65k rumayan tp sayang tdk sesuai gambar untuk tali nya d gambar tali putih yg dtg abu2 meski tdk 100%sama gambar tp rumayan lah hrg segitu..mks toko lain kali yg sesuai ok suxses selalu dah..,untuk hrg k rumayan tp sayang tidak sesuai gambar untuk tali nya d gambar tali putih yang dtg abu meski tidak sama gambar tp rumayan lah hrg segitumks toko lain kali yang sesuai ok suxses selalu dah
Bentuk bagus dan ukuranya pas sekali mudah mudahan daya pakai nya kuat terima kasih,bentuk bagus dan ukuranya pas sekali mudah mudah daya pakai nya kuat terima kasih
"Barang sesuai pesanan, trnyata kekecilan dikit saya pesen ukuran 40.. tau gitu pesen yg ukuran 41.. dengan harga segitu okelah",barang sesuai pesan trnyata kecil dikit saya sen ukur tau gitu sen yang ukur dengan harga segitu oke
"Barang sesuai gambar. & Kualitas Nya baik dengan harga segitu, next order lagi yang warna hitam nya",barang sesuai gambar kualitas nya baik dengan harga segitu next order lagi yang warna hitam nya
"Bagian belakang lem nya ada yg lepas harus di sol/jahit lagi spy lebih kuat, catnya agak kurang rapi, dg harga segitu ya wajarlah.",bagi belakang lem nya ada yang lepas harus di soljahit lagi spy lebih kuat cat agak kurang rapi dg harga segitu ya wajar
"Sangat bagus sesuai pesanan,, semoga awet dan amanah,kurir bagus terpercaya,, makasih buat toko dan kurir dan jug aplikasi ini...",sangat bagus sesuai pesan moga awet dan amanahkurir bagus percaya makasih buat toko dan kurir dan jug aplikasi ini
Barang bagus sesuae yg sayang pesan walau pun agak terlbat sampaixa,barang bagus sesuae yang sayang pesan walau pun agak terlbat sampaixa
"Ma,af baru di ambil paket nya.paket nya sdh smpai",maaf baru di ambil paket nyapaket nya sdh smpai
"bagus, sesuai pesanan.harga juga murah.moga awet & tahan",bagus sesuai pesananharga juga murahmoga awet tahan
Yaa lumayan lah bagus SM di gambar ya namanya jg harga murah,yaa lumayan lah bagus sm di gambar ya nama jg harga murah
Alhamdllah.paket.datang nya cepat.dan sesuai pesanan.barang nya bagus.maksh untuk semua nya sukses sellu.buat kutur dan seler nya.🤲🤲🤲,alhamdllahpaketdatang nya cepatdan sesuai pesananbarang nya bagusmaksh untuk semua nya sukses sellubuat tur dan seler nya
"Bagus,kualitas sesuai hargalah..terima kasih",baguskualitas sesuai hargalahterima kasih
Paket tepat waktu Barang lumayan bagus,paket tepat waktu barang lumayan bagus
"Paket sudah sampai, bahan sesuai sama yg di foto terimakasih kak.",paket sudah sampai bahan sesuai sama yang di foto terimakasih kak
Sepatu ya sangat bagus sya suka sesuai SMA pesanan nya Poko ya mantul,sepatu ya sangat bagus sya suka sesuai sma pesan nya poko ya mantul
"Sepatunya bagus,dapat harga segitu termasuk murah.",sepatu bagusdapat harga segitu masuk murah
Daya tahan pakai: Kuat anti selip Bentuk dan ukuran: Bagus/ pass banget,daya tahan pakai kuat anti selip bentuk dan ukur bagus pass banget
"saya kecewa tidak sesuai yg di gambar,harusnya ada pemberitahuan klo barang tidak ada sebelum dikirim padahal saya co 2 no 42 sama no 39 yg no 42 nya sama kaya di gambar klo yg 39 beda",saya kecewa tidak sesuai yang di gambarharusnya ada pemberitahuan klo barang tidak ada belum kirim padahal saya co no sama no yang no nya sama kaya di gambar klo yang beda
Bentuk dan ukuran: Sepatu sport ukuran pas 39 Aroma: Biasa Daya tahan pakai: Lumayan buat joging dan mejeng pas buat anak muda dan tua laki cewek cocok tidak mengecewakan dgn harga ekonomis kren,bentuk dan ukur sepatu sport ukur pas aroma biasa daya tahan pakai lumayan buat joging dan mejeng pas buat anak muda dan tua laki cewek cocok tidak kecewa dgn harga ekonomis kren
Bentuk dan ukuran: pas nyaman dipakai. Daya tahan pakai: semoga awet.,bentuk dan ukur pas nyaman pakai daya tahan pakai moga awet
Wajar sih untuk harga segitu emang gak berharap banyak. Barang lecet dan sol gak rata. Cet nya manual bukan warna asli sol jadi belepotan kemana2 dan warna nya gak rata.,wajar sih untuk harga segitu emang gak harap banyak barang lecet dan sol gak rata cet nya manual bukan warna asli sol jadi belepotan mana dan warna nya gak rata
